observation_date,CUMFNS_20150701
1948-01-01,84.4294
1948-02-01,83.9649
1948-03-01,83.3786
1948-04-01,82.7982
1948-05-01,83.3016
1948-06-01,83.6466
1948-07-01,83.3785
1948-08-01,82.6580
1948-09-01,81.4921
1948-10-01,81.6890
1948-11-01,80.2405
1948-12-01,79.3106
1949-01-01,77.9438
1949-02-01,76.8835
1949-03-01,75.8871
1949-04-01,74.1646
1949-05-01,73.1841
1949-06-01,73.0837
1949-07-01,73.1290
1949-08-01,73.6079
1949-09-01,74.8043
1949-10-01,71.6831
1949-11-01,72.0188
1949-12-01,73.6252
1950-01-01,74.9361
1950-02-01,75.3878
1950-03-01,76.3894
1950-04-01,79.2129
1950-05-01,81.0351
1950-06-01,83.1238
1950-07-01,85.4762
1950-08-01,88.3670
1950-09-01,87.2287
1950-10-01,87.4758
1950-11-01,87.0349
1950-12-01,88.0952
1951-01-01,88.3302
1951-02-01,88.2919
1951-03-01,88.3826
1951-04-01,88.2029
1951-05-01,87.3526
1951-06-01,86.6421
1951-07-01,84.8692
1951-08-01,83.6406
1951-09-01,83.7458
1951-10-01,83.0578
1951-11-01,83.5590
1951-12-01,83.9073
1952-01-01,84.3838
1952-02-01,84.5965
1952-03-01,84.6599
1952-04-01,83.5604
1952-05-01,83.1126
1952-06-01,81.8992
1952-07-01,79.8012
1952-08-01,85.0966
1952-09-01,87.6912
1952-10-01,88.7512
1952-11-01,90.1807
1952-12-01,90.4905
1953-01-01,90.5483
1953-02-01,91.1036
1953-03-01,91.4256
1953-04-01,91.4983
1953-05-01,91.6937
1953-06-01,90.6594
1953-07-01,90.9787
1953-08-01,90.5636
1953-09-01,88.3263
1953-10-01,87.1948
1953-11-01,84.7407
1953-12-01,82.3076
1954-01-01,81.3314
1954-02-01,80.8402
1954-03-01,80.2379
1954-04-01,79.4012
1954-05-01,79.7563
1954-06-01,79.8726
1954-07-01,79.3984
1954-08-01,78.8093
1954-09-01,79.1621
1954-10-01,79.7465
1954-11-01,80.9104
1954-12-01,81.7984
1955-01-01,83.4910
1955-02-01,84.1335
1955-03-01,85.7690
1955-04-01,86.7049
1955-05-01,87.8619
1955-06-01,87.6462
1955-07-01,87.6585
1955-08-01,87.3323
1955-09-01,87.4582
1955-10-01,88.3671
1955-11-01,88.2651
1955-12-01,89.0259
1956-01-01,88.2309
1956-02-01,87.4422
1956-03-01,86.9629
1956-04-01,87.7998
1956-05-01,86.3431
1956-06-01,85.3322
1956-07-01,81.5224
1956-08-01,84.9487
1956-09-01,85.9908
1956-10-01,86.4910
1956-11-01,85.8189
1956-12-01,86.7793
1957-01-01,86.1510
1957-02-01,86.9983
1957-03-01,86.4136
1957-04-01,84.9971
1957-05-01,84.2139
1957-06-01,84.5773
1957-07-01,84.3174
1957-08-01,84.1625
1957-09-01,83.1858
1957-10-01,81.3949
1957-11-01,79.4105
1957-12-01,77.5488
1958-01-01,75.6978
1958-02-01,73.7563
1958-03-01,72.7431
1958-04-01,71.3327
1958-05-01,71.9395
1958-06-01,73.9457
1958-07-01,74.3421
