observation_date,DPCERA3M086SBEA_20190301
1959-01-01,17.302
1959-02-01,17.482
1959-03-01,17.647
1959-04-01,17.584
1959-05-01,17.796
1959-06-01,17.861
1959-07-01,17.801
1959-08-01,17.908
1959-09-01,18.088
1959-10-01,17.965
1959-11-01,17.957
1959-12-01,17.937
1960-01-01,17.987
1960-02-01,18.065
1960-03-01,18.321
1960-04-01,18.605
1960-05-01,18.229
1960-06-01,18.225
1960-07-01,18.262
1960-08-01,18.245
1960-09-01,18.332
1960-10-01,18.421
1960-11-01,18.357
1960-12-01,18.132
1961-01-01,18.176
1961-02-01,18.243
1961-03-01,18.470
1961-04-01,18.479
1961-05-01,18.591
1961-06-01,18.636
1961-07-01,18.580
1961-08-01,18.647
1961-09-01,18.751
1961-10-01,18.869
1961-11-01,19.051
1961-12-01,19.183
1962-01-01,19.189
1962-02-01,19.180
1962-03-01,19.339
1962-04-01,19.406
1962-05-01,19.555
1962-06-01,19.457
1962-07-01,19.521
1962-08-01,19.574
1962-09-01,19.794
1962-10-01,19.696
1962-11-01,19.957
1962-12-01,20.069
1963-01-01,20.063
1963-02-01,19.988
1963-03-01,20.089
1963-04-01,20.162
1963-05-01,20.175
1963-06-01,20.370
1963-07-01,20.475
1963-08-01,20.547
1963-09-01,20.509
1963-10-01,20.497
1963-11-01,20.650
1963-12-01,20.896
1964-01-01,20.964
1964-02-01,21.112
1964-03-01,21.186
1964-04-01,21.223
1964-05-01,21.517
1964-06-01,21.640
1964-07-01,21.800
1964-08-01,21.931
1964-09-01,21.839
1964-10-01,21.982
1964-11-01,21.782
1964-12-01,21.993
1965-01-01,22.149
1965-02-01,22.502
1965-03-01,22.572
1965-04-01,22.732
1965-05-01,22.711
1965-06-01,22.522
1965-07-01,22.805
1965-08-01,22.972
1965-09-01,23.356
1965-10-01,23.682
1965-11-01,23.673
1965-12-01,23.721
1966-01-01,23.873
1966-02-01,24.033
1966-03-01,24.220
1966-04-01,24.233
