observation_date,RPI_20221101
1959-01-01,2442.158
1959-02-01,2451.778
1959-03-01,2467.594
1959-04-01,2483.671
1959-05-01,2498.026
1959-06-01,2505.788
1959-07-01,2504.312
1959-08-01,2490.236
1959-09-01,2492.033
1959-10-01,2495.225
1959-11-01,2514.248
1959-12-01,2540.011
1960-01-01,2548.137
1960-02-01,2551.050
1960-03-01,2555.924
1960-04-01,2564.677
1960-05-01,2570.841
1960-06-01,2572.869
1960-07-01,2577.579
1960-08-01,2573.388
1960-09-01,2576.666
1960-10-01,2584.282
1960-11-01,2573.347
1960-12-01,2561.458
1961-01-01,2584.569
1961-02-01,2594.453
1961-03-01,2605.019
1961-04-01,2610.677
1961-05-01,2630.983
1961-06-01,2655.755
1961-07-01,2663.324
1961-08-01,2664.791
1961-09-01,2668.056
1961-10-01,2694.499
1961-11-01,2718.609
1961-12-01,2734.812
1962-01-01,2732.201
1962-02-01,2743.689
1962-03-01,2762.598
1962-04-01,2776.751
1962-05-01,2780.627
1962-06-01,2784.562
1962-07-01,2797.963
1962-08-01,2802.522
1962-09-01,2803.759
1962-10-01,2818.754
1962-11-01,2828.912
1962-12-01,2842.294
1963-01-01,2859.848
1963-02-01,2844.767
1963-03-01,2857.502
1963-04-01,2865.333
1963-05-01,2877.681
1963-06-01,2891.248
1963-07-01,2892.852
1963-08-01,2903.021
1963-09-01,2922.823
1963-10-01,2938.834
1963-11-01,2944.966
1963-12-01,2968.290
1964-01-01,2978.966
1964-02-01,2991.180
1964-03-01,3006.408
1964-04-01,3024.647
1964-05-01,3042.828
1964-06-01,3053.600
1964-07-01,3070.242
1964-08-01,3087.385
1964-09-01,3100.220
1964-10-01,3101.866
1964-11-01,3122.788
1964-12-01,3153.736
1965-01-01,3173.501
1965-02-01,3175.364
1965-03-01,3190.591
1965-04-01,3203.803
1965-05-01,3221.449
1965-06-01,3230.773
1965-07-01,3252.486
1965-08-01,3266.104
1965-09-01,3346.103
1965-10-01,3331.630
1965-11-01,3356.525
1965-12-01,3374.333
1966-01-01,3382.552
1966-02-01,3399.363
1966-03-01,3417.621
1966-04-01,3414.730
1966-05-01,3425.954
1966-06-01,3442.635
1966-07-01,3456.638
1966-08-01,3473.932
1966-09-01,3494.844
1966-10-01,3509.309
1966-11-01,3531.003
1966-12-01,3530.065
1967-01-01,3562.998
1967-02-01,3567.335
1967-03-01,3588.793
1967-04-01,3586.125
1967-05-01,3592.518
1967-06-01,3606.776
1967-07-01,3625.314
1967-08-01,3642.274
1967-09-01,3645.137
1967-10-01,3650.016
1967-11-01,3673.030
1967-12-01,3683.388
1968-01-01,3703.467
1968-02-01,3731.731
1968-03-01,3763.465
1968-04-01,3780.348
1968-05-01,3800.158
1968-06-01,3817.950
1968-07-01,3841.105
1968-08-01,3858.838
1968-09-01,3876.933
1968-10-01,3883.464
1968-11-01,3900.973
1968-12-01,3916.872
1969-01-01,3920.470
1969-02-01,3938.913
1969-03-01,3956.672
1969-04-01,3966.147
1969-05-01,3981.601
1969-06-01,3995.273
1969-07-01,4017.343
1969-08-01,4042.239
1969-09-01,4052.810
1969-10-01,4060.316
1969-11-01,4064.391
1969-12-01,4072.746
1970-01-01,4080.053
1970-02-01,4090.141
1970-03-01,4105.972
1970-04-01,4146.769
1970-05-01,4122.950
1970-06-01,4135.827
1970-07-01,4159.044
1970-08-01,4169.629
1970-09-01,4166.724
1970-10-01,4152.443
1970-11-01,4148.145
1970-12-01,4162.384
1971-01-01,4198.309
1971-02-01,4206.553
1971-03-01,4219.729
1971-04-01,4231.074
1971-05-01,4247.207
1971-06-01,4326.865
1971-07-01,4272.810
1971-08-01,4287.522
1971-09-01,4312.760
1971-10-01,4324.676
1971-11-01,4346.762
1971-12-01,4369.464
1972-01-01,4390.518
1972-02-01,4426.359
1972-03-01,4454.360
1972-04-01,4460.189
1972-05-01,4479.264
1972-06-01,4491.620
1972-07-01,4518.901
1972-08-01,4560.769
1972-09-01,4578.161
1972-10-01,4683.818
1972-11-01,4731.413
1972-12-01,4748.855
1973-01-01,4729.977
1973-02-01,4747.230
1973-03-01,4753.071
1973-04-01,4762.201
1973-05-01,4783.055
1973-06-01,4796.373
1973-07-01,4810.499
1973-08-01,4796.415
1973-09-01,4824.783
1973-10-01,4866.943
1973-11-01,4878.055
1973-12-01,4865.130
1974-01-01,4823.641
1974-02-01,4794.649
1974-03-01,4763.270
1974-04-01,4760.436
1974-05-01,4764.730
1974-06-01,4761.622
1974-07-01,4780.374
1974-08-01,4772.362
1974-09-01,4767.383
1974-10-01,4782.684
1974-11-01,4754.224
1974-12-01,4751.434
1975-01-01,4746.902
1975-02-01,4744.634
1975-03-01,4748.155
1975-04-01,4753.802
1975-05-01,4783.022
1975-06-01,4866.383
1975-07-01,4812.601
1975-08-01,4848.633
1975-09-01,4860.019
1975-10-01,4882.844
1975-11-01,4882.572
1975-12-01,4889.704
1976-01-01,4921.721
1976-02-01,4950.540
1976-03-01,4963.600
1976-04-01,4982.689
1976-05-01,4988.193
1976-06-01,4995.755
1976-07-01,5026.559
1976-08-01,5040.800
1976-09-01,5045.041
1976-10-01,5043.375
1976-11-01,5087.692
1976-12-01,5103.347
1977-01-01,5078.557
1977-02-01,5095.058
1977-03-01,5117.566
1977-04-01,5139.635
1977-05-01,5152.442
1977-06-01,5160.480
1977-07-01,5189.002
1977-08-01,5209.385
1977-09-01,5241.970
1977-10-01,5287.299
1977-11-01,5328.921
1977-12-01,5352.594
1978-01-01,5333.703
