test_name,data_shape,missing_pattern,missing_rate,noise_type,noise_level,execution_time,cells_per_sec,success,error,noisy_mse,noisy_mae,noisy_rmse,noisy_mape,noisy_correlation,noisy_residual_std,noisy_residual_mean,noisy_coverage_95,noisy_evaluable_points,use_fourier
Quick Baseline [MISSNET (autotune)],"(50, 5)",mcar,0.236,gaussian,0.1,0.1360318660736084,1837.8046792706803,True,,0.034552537526558666,0.15259574179517058,0.18588312867648496,135.37918995189904,0.9691289945590744,0.18541118666102682,-0.01323742374892249,0.9322033898305084,59,
Quick Baseline [Mean],"(50, 5)",mcar,0.236,gaussian,0.1,2.7894973754882812e-05,8962188.034188034,True,,0.5218995296883557,0.6070370282228666,0.7224261413378918,580.7573174205497,0.19053193366992136,0.7039899980078068,0.16216538592845242,0.9830508474576272,59,
Quick Baseline [FFillBFill],"(50, 5)",mcar,0.236,gaussian,0.1,0.00017976760864257812,1390684.350132626,True,,0.2873158917151497,0.43789306279018325,0.5360185553832533,511.2689483955352,0.728527728502269,0.5267176202464611,-0.09942052221274277,0.9491525423728814,59,
Quick Baseline [LinearInterp],"(50, 5)",mcar,0.236,gaussian,0.1,0.00038909912109375,642509.8039215687,True,,0.10004328698268522,0.24596456151732332,0.31629620134090325,250.21025227916488,0.9056606875975836,0.305381278193302,0.08237452222447346,0.9322033898305084,59,
Quick Baseline [Spline(k=3)],"(50, 5)",mcar,0.236,gaussian,0.1,0.0013260841369628906,188524.9910104279,True,,1.8677366544433232,0.5374621806910042,1.3666516214614912,236.98278246928166,0.3052973189725711,1.313561073008183,0.3772187189428893,0.9491525423728814,59,
"Quick Baseline [SavGol(11,3)]","(50, 5)",mcar,0.236,gaussian,0.1,0.0004990100860595703,500991.87768752984,True,,0.10093306249441258,0.2596930133155953,0.31769964194882655,363.884384585086,0.9034192785165036,0.3118521488238764,-0.060673715629944995,0.9491525423728814,59,
Quick Baseline [Fourier(K=6)],"(50, 5)",mcar,0.236,gaussian,0.1,0.00045490264892578125,549568.1341719078,True,,0.05538318966743763,0.1923885277030101,0.23533633307978102,307.2885479612214,0.9434702638982007,0.23529111538220743,-0.004613099785869075,0.9491525423728814,59,
Quick Baseline [KNN(k=5)],"(50, 5)",mcar,0.236,gaussian,0.1,0.0012049674987792969,207474.47566284132,True,,0.09762590725128095,0.24185543909572746,0.31245144783034845,419.5549372420768,0.899741398291167,0.30949131841434036,0.042907238054136446,0.9322033898305084,59,
Quick Baseline [IterSVD(rank=5)],"(50, 5)",mcar,0.236,gaussian,0.1,0.00028896331787109375,865161.7161716172,True,,0.5218995296883546,0.6070370282228662,0.7224261413378911,580.7573174205497,0.19053193366992435,0.703989998007806,0.16216538592845245,0.9830508474576272,59,
Quick Baseline [CenteredMA(w=9)],"(50, 5)",mcar,0.236,gaussian,0.1,0.00045013427734375,555389.8305084746,True,,0.31786921188444095,0.47061233590613827,0.5637989108577995,607.0669745207884,0.621926731752247,0.561298949972271,0.05303490024942917,0.9491525423728814,59,
Multivariate Correlated [MISSNET (autotune)],"(200, 10)",mcar,0.201,gaussian,0.1,2.227247953414917,897.969171745566,True,,0.044350146144031204,0.16775764758554618,0.210594743866107,83.10769255202256,0.9985361591804769,0.20866502887972915,0.02844383705924739,0.9477611940298507,402,
Multivariate Correlated [Mean],"(200, 10)",mcar,0.201,gaussian,0.1,2.9325485229492188e-05,68200065.04065041,True,,6.971705563965268,1.8584211598965208,2.640398750939954,230.05938185426186,0.7248055018220523,2.639243782049093,0.07808855793562199,0.927860696517413,402,
Multivariate Correlated [FFillBFill],"(200, 10)",mcar,0.201,gaussian,0.1,0.00015306472778320312,13066367.601246106,True,,0.5430227311033345,0.5825330834176432,0.7369007606885303,133.53010177382606,0.9819375276345168,0.7276860459674146,0.11617120816985749,0.9552238805970149,402,
Multivariate Correlated [LinearInterp],"(200, 10)",mcar,0.201,gaussian,0.1,0.00047016143798828125,4253858.012170386,True,,0.1249611685798456,0.2836930923025807,0.3534984704066562,301.0750289643258,0.9957391937624392,0.3533611250327344,0.009853116027219439,0.9527363184079602,402,
Multivariate Correlated [Spline(k=3)],"(200, 10)",mcar,0.201,gaussian,0.1,0.023442745208740234,85314.24038402864,True,,0.2772435045546225,0.3083211724136804,0.5265391766569915,361.8043586326908,0.9907833457876217,0.5263391324524718,-0.014512828938630023,0.9850746268656716,402,
"Multivariate Correlated [SavGol(11,3)]","(200, 10)",mcar,0.201,gaussian,0.1,0.00036716461181640625,5447148.051948052,True,,0.24704796328389342,0.3773504174298365,0.49703919692906856,234.96014102547895,0.9917224173415817,0.49195581537390354,0.07090443571238043,0.9477611940298507,402,
Multivariate Correlated [Fourier(K=6)],"(200, 10)",mcar,0.201,gaussian,0.1,0.0007021427154541016,2848423.7691001697,True,,1.4172004263936842,0.8756540048520998,1.1904622742421047,162.36639269944612,0.9506751547711707,1.190027621331433,0.03216654880362736,0.9651741293532339,402,
Multivariate Correlated [KNN(k=5)],"(200, 10)",mcar,0.201,gaussian,0.1,0.002424955368041992,824757.447645266,True,,0.22335057400085365,0.3282176848367234,0.4725998032171127,129.19859258538816,0.9925561737339004,0.4717412318330971,0.028474272412930105,0.9427860696517413,402,
Multivariate Correlated [IterSVD(rank=5)],"(200, 10)",mcar,0.201,gaussian,0.1,0.0005488395690917969,3644052.12858384,True,,5.307651650594046,1.344871110578604,2.3038341195915226,229.5797604415962,0.7992798089357478,2.303551739333487,0.036069860101122446,0.9104477611940298,402,
